Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Politeknik Harapan Bersama,Desain Komunikasi Visual,D3,6,5327/SK/BAN-PT/Ak/D3/VIII/2022,2022,POLTEK HARBER,d3desainkomunikasivisual@POLTEKHARBER.ac.id
Politeknik Negeri Media Kreatif,Desain Mode,D4,PTN,5471/SK/BAN-PT/Ak/STr/VIII/2022,2022,POLIMEDIA,d4desainmode@POLIMEDIA.ac.id
Politeknik Perkapalan Negeri Surabaya,Teknik Desain Dan Manufaktur,D4,PTN,0105/SK/LAM Teknik/VST/VIII/2022,2022,PPNS,d4teknikdesaindanmanufaktur@PPNS.ac.id
Universitas Trisakti,Desain Produk,S1,3,5988/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Usakti,s1desainproduk@Usakti.ac.id
Sekolah Tinggi Desain Interstudi,Desain Interior,S1,3,6266/SK/BAN-PT/Ak.KP/S/IX/2022,2022,STDI Interstudi,s1desaininterior@STDIInterstudi.ac.id
Sekolah Tinggi Media Komunikasi Trisakti,Desain Komunikasi Visual,S1,3,6618/SK/BAN-PT/Ak.KP/S/IX/2022,2022,STMK Trisakti,s1desainkomunikasivisual@STMKTrisakti.ac.id
Akademi Seni Dan Desain Indonesia Surakarta,Desain Komunikasi Visual,D3,6,7539/SK/BAN-PT/Ak.KP/D3/X/2022,2022,ASDI Surakarta,d3desainkomunikasivisual@ASDISurakarta.ac.id
Akademi Seni Dan Desain Indonesia Surakarta,Desain Produk Tekstil,D3,6,8199/SK/BAN-PT/Ak.KP/D3/X/2022,2022,ASDI Surakarta,d3desainproduktekstil@ASDISurakarta.ac.id
Institut Sains Dan Teknologi Td Pardede,Desain Interior,D3,1,8950/SK/BAN-PT/Ak.KP/D3/XI/2022,2022,ISTP,d3desaininterior@ISTP.ac.id
Universitas Sebelas Maret,Desain Interior,S1,PTN,8892/SK/BAN-PT/Ak.Ppj/S/XI/2022,2022,UNS,s1desaininterior@UNS.ac.id
Universitas Aisyiyah Bandung,Desain Komunikasi Visual,S1,4,8859/SK/BAN-PT/Ak/S/XI/2022,2022,UNISA Bandung,s1desainkomunikasivisual@UNISABandung.ac.id
Universitas Kristen Satya Wacana,Desain Komunikasi Visual,S1,6,9109/SK/BAN-PT/Ak.Ppj/S/XI/2022,2022,UKSW,s1desainkomunikasivisual@UKSW.ac.id
Politeknik Sains Seni Rekakreasi,Desain Komunikasi Visual,D3,4,9918/SK/BAN-PT/Ak/D3/XI/2022,2022,PSS Reka Kreasi,d3desainkomunikasivisual@PSSRekaKreasi.ac.id
Institut Teknologi Harapan Bangsa,Desain Komunikasi Visual,S1,4,10075/SK/BAN-PT/Ak/S/XI/2022,2022,ITHB,s1desainkomunikasivisual@ITHB.ac.id
Universitas Pradita,Desain Komunikasi Visual,S1,3,1045/SK/BAN-PT/Akred/S/II/2021,2021,UP,s1desainkomunikasivisual@UP.ac.id
Institut Teknologi Dan Sains Nahdlatul Ulama Pasuruan,Desain Komunikasi Visual,S1,7,1179/SK/BAN-PT/Akred/S/III/2021,2021,ITSNU Pasuruan,s1desainkomunikasivisual@ITSNUPasuruan.ac.id
Universitas Negeri Padang,Desain Komunikasi Visual,S1,PTN,1123/SK/BAN-PT/Akred/S/III/2021,2021,UNP,s1desainkomunikasivisual@UNP.ac.id
Institut Manajemen Wiyata Indonesia,Desain Grafis,S1,4,1861/SK/BAN-PT/Akred/S/IV/2021,2021,IMWI,s1desaingrafis@IMWI.ac.id
Politeknik Industri Furnitur Dan Pengolahan Kayu,Desain Furnitur,D3,PTKL,358/SK/BAN-PT/Akred/Dipl-III/I/2021,2021,POLIFURNI,d3desainfurnitur@POLIFURNI.ac.id
Institut Teknologi Harapan Bangsa,Desain Produk,S1,4,657/SK/BAN-PT/Akred/S/II/2021,2021,ITHB,s1desainproduk@ITHB.ac.id
Akademi Kesejahteraan Sosial Ibu Kartini,Desain Busana,D3,6,1326/SK/BAN-PT/Akred/Dipl-III/III/2021,2021,AKSIK,d3desainbusana@AKSIK.ac.id
Institut Teknologi Batam,Desain Komunikasi Visual,S1,17,1358/SK/BAN-PT/Akred/S/III/2021,2021,ITEBA,s1desainkomunikasivisual@ITEBA.ac.id
Akademi Teknik PIKA,Desain Interior,D3,6,1480/SK/BAN-PT/Akred/Dipl-III/III/2021,2021,AT PIKA,d3desaininterior@ATPIKA.ac.id
Institut Teknologi Dan Bisnis Ahmad Dahlan,Desain Komunikasi Visual,S1,3,1500/SK/BAN-PT/Akred/S/III/2021,2021,ITB-AD,s1desainkomunikasivisual@ITB-AD.ac.id
Universitas Adhirajasa Reswara Sanjaya,Desain Komunikasi Visual,S1,4,1605/SK/BAN-PT/Akred/S/III/2021,2021,UNJAYA,s1desainkomunikasivisual@UNJAYA.ac.id
Universitas Kuningan,Desain Komunikasi Visual,S1,4,2028/SK/BAN-PT/Akred/S/IV/2021,2021,UNIKU,s1desainkomunikasivisual@UNIKU.ac.id
Universitas Bina Nusantara,Desain Interior (Kampus Kota Bandung),S1,3,2438/SK/BAN-PT/Akred/S/IV/2021,2021,BINUS,s1desaininteriorkampuskotabandung@BINUS.ac.id
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Bandung),S1,3,2441/SK/BAN-PT/Akred/S/IV/2021,2021,BINUS,s1desainkomunikasivisualkampuskotabandung@BINUS.ac.id
Universitas Bina Nusantara,Desain Interior (Kampus Kota Malang),S1,3,2668/SK/BAN-PT/Akred/S/V/2021,2021,BINUS,s1desaininteriorkampuskotamalang@BINUS.ac.id
Universitas Nahdlatul Ulama Kalimantan Timur,Desain Interior,S1,11,3112/SK/BAN-PT/Akred/S/V/2021,2021,UNUKALTARA,s1desaininterior@UNUKALTARA.ac.id
Politeknik Negeri Pontianak,Desain Kawasan Binaan,D4,PTN,2878/SK/BAN-PT/Akred/ST/V/2021,2021,POLNEP,d4desainkawasanbinaan@POLNEP.ac.id
Institut Teknologi Sumatera,Desain Komunikasi Visual,S1,PTN,2731/SK/BAN-PT/Akred/S/V/2021,2021,ITERA,s1desainkomunikasivisual@ITERA.ac.id
Universitas Sahid Surakarta,Desain Komunikasi Visual,S1,6,2993/SK/BAN-PT/Ak-PPJ/S/V/2021,2021,USAP,s1desainkomunikasivisual@USAP.ac.id
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Malang),S1,3,3288/SK/BAN-PT/Akred/S/V/2021,2021,BINUS,s1desainkomunikasivisualkampuskotamalang@BINUS.ac.id
Universitas Teknologi Indonesia,Desain Produk,S1,8,6144/SK/BAN-PT/Ak-TMSP/S/VI/2021,2021,UTI,s1desainproduk@UTI.ac.id
Politeknik Muhammadiyah Tegal,Desain Produk,D3,6,8752/SK/BAN-PT/Akred/Dipl-III/VI/2021,2021,POLMUTECH,d3desainproduk@POLMUTECH.ac.id
Politeknik Negeri Media Kreatif,Desain Grafis (Kampus Makassar),D3,PTN,8915/SK/BAN-PT/Akred/Dipl-III/VI/2021,2021,POLIMEDIA,d3desaingrafiskampusmakassar@POLIMEDIA.ac.id
Universitas Ciputra Surabaya,Desain Produk,S1,7,9276/SK/BAN-PT/Akred/S/VII/2021,2021,UC,s1desainproduk@UC.ac.id
Universitas Budi Luhur,Desain Komunikasi Visual,S1,3,9440/SK/BAN-PT/Akred/S/VII/2021,2021,UBL,s1desainkomunikasivisual@UBL.ac.id
Institut Sains Dan Teknologi Terpadu Surabaya,Desain Produk,S1,7,9709/SK/BAN-PT/Akred/S/VII/2021,2021,ISTTS,s1desainproduk@ISTTS.ac.id
Institut Desain Dan Bisnis Bali,Desain Mode,D4,8,9921/SK/BAN-PT/Akred/ST/VIII/2021,2021,IDB Bali,d4desainmode@IDBBali.ac.id
Institut Teknologi Sepuluh Nopember,Desain Komunikasi Visual,S1,PTN,10472/SK/BAN-PT/Akred/S/VIII/2021,2021,ITS,s1desainkomunikasivisual@ITS.ac.id
STIKI Malang,Desain Komunikasi Visual,S1,7,10632/SK/BAN-PT/Akred/S/IX/2021,2021,STIKI,s1desainkomunikasivisual@STIKI.ac.id
Institut Teknologi Telkom Purwokerto,Desain Komunikasi Visual,S1,6,10875/SK/BAN-PT/Akred/S/IX/2021,2021,ITTP,s1desainkomunikasivisual@ITTP.ac.id
Universitas Pendidikan Indonesia,Desain Komunikasi Visual,S1,PTN,10936/SK/BAN-PT/Akred/S/IX/2021,2021,UPI,s1desainkomunikasivisual@UPI.ac.id
Universitas Indonesia Mandiri,Desain Komunikasi Visual,S1,4,11595/SK/BAN-PT/PB-PS/S/X/2021,2021,UIM,s1desainkomunikasivisual@UIM.ac.id
Akademi Seni Rupa Dan Desain ISWI Jakarta,Desain Produk,D3,3,11979/SK/BAN-PT/Akred/Dipl-III/X/2021,2021,ASRDI ISWI,d3desainproduk@ASRDIISWI.ac.id
STKIP Pangeran Antasari,Pendidikan Vokasional Desain Fashion,S1,1,12208/SK/BAN-PT/Akred/S/XI/2021,2021,STKIP PA,s1pendidikanvokasionaldesainfashion@STKIPPA.ac.id
Universitas Esa Unggul,Desain Komunikasi Visual,S1,3,12618/SK/BAN-PT/Ak-PPJ/S/XI/2021,2021,UEU,s1desainkomunikasivisual@UEU.ac.id
Universitas Trisakti,Desain Komunikasi Visual,S1,3,12885/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,Usakti,s1desainkomunikasivisual@Usakti.ac.id
Sekolah Tinggi Desain Interstudi,Desain Produk,S1,3,13061/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,STDI Interstudi,s1desainproduk@STDIInterstudi.ac.id
Sekolah Tinggi Desain Interstudi,Desain Komunikasi Visual,S1,3,13091/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,STDI Interstudi,s1desainkomunikasivisual@STDIInterstudi.ac.id
Universitas Multimedia Nusantara,Desain Komunikasi Visual,S1,3,13626/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,UMN,s1desainkomunikasivisual@UMN.ac.id
Institut Seni Indonesia Yogyakarta,Desain Komunikasi Visual,S1,PTN,13625/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,ISI Yogyakarta,s1desainkomunikasivisual@ISIYogyakarta.ac.id
Politeknik Negeri Media Kreatif,Desain Grafis,D3,PTN,14023/SK/BAN-PT/Ak-PPJ/Dipl-III/XII/2021,2021,POLIMEDIA,d3desaingrafis@POLIMEDIA.ac.id
Universitas Trisakti,Desain Interior,S1,3,14021/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,Usakti,s1desaininterior@Usakti.ac.id
Sekolah Tinggi Teknologi Bandung,Desain Komunikasi Visual,S1,4,8311/SK/BAN-PT/Akred/S/XII/2020,2020,STT Bandung,s1desainkomunikasivisual@STTBandung.ac.id
Institut Seni Indonesia Surakarta,Desain Interior,S1,PTN,8288/SK/BAN-PT/Ak-PPJ/S/XII/2020,2020,ISI Surakarta,s1desaininterior@ISISurakarta.ac.id
Universitas Islam Nahdlatul Ulama Jepara,Desain Komunikasi Visual,S1,6,8568/SK/BAN-PT/Akred/S/XII/2020,2020,UNISNU,s1desainkomunikasivisual@UNISNU.ac.id
Universitas Halu Oleo,Perencanaan Dan Pengembangan Wilayah,S2,PTN,6380/SK/BAN-PT/Ak.S/M/V/2025,2025,UHO,s2perencanaandanpengembanganwilayah@UHO.ac.id
Universitas Mataram,Perencanaan Kepariwisataan,S2,PTN,6094/SK/BAN-PT/Ak.P/M/III/2025,2025,UNRAM,s2perencanaankepariwisataan@UNRAM.ac.id
Politeknik Internasional Bali,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,8,6135/SK/BAN-PT/Ak.P/MTr/III/2025,2025,PIB,s2terapanperencanaandanpengembanganpariwisata@PIB.ac.id
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S1,PTN,6154/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,UB,s1perencanaanwilayahdankota@UB.ac.id
Institut Sains Dan Teknologi Muhammadiyah Tarakan,Perencanaan Wilayah Dan Kota,S1,11,208/SK/BAN-PT/Ak/S/II/2025,2025,ISTM Tarakan,s1perencanaanwilayahdankota@ISTMTarakan.ac.id
Universitas Nahdlatul Ulama Maluku Utara,Perencanaan Wilayah Dan Kota,S1,12,147/SK/BAN-PT/Ak.P/S/I/2025,2025,UNUT,s1perencanaanwilayahdankota@UNUT.ac.id
Universitas Muhammadiyah Jambi,Perencanaan Wilayah Dan Kota,S1,10,85/SK/BAN-PT/Ak.P/S/I/2025,2025,UM Jambi,s1perencanaanwilayahdankota@UMJambi.ac.id
Universitas Muhammadiyah Palopo,Perencanaan Wilayah Dan Kota,S1,9,6271/SK/BAN-PT/Ak.P/S/IV/2025,2025,UM Palopo,s1perencanaanwilayahdankota@UMPalopo.ac.id
Universitas Sintuwu Maroso Poso,Perencanaan Wilayah Dan Perdesaan,S2,16,6266/SK/BAN-PT/Ak.P/M/IV/2025,2025,UNSIMAR,s2perencanaanwilayahdanperdesaan@UNSIMAR.ac.id
Institut Teknologi Nasional Yogyakarta,Perencanaan Wilayah Dan Kota,S1,5,6412/SK/BAN-PT/Ak.Ppj/S/V/2025,2025,ITNY,s1perencanaanwilayahdankota@ITNY.ac.id
Institut Teknologi Nasional Malang,Perencanaan Wilayah Dan Kota,S1,7,6485/SK/BAN-PT/Ak.KP/S/V/2025,2025,ITN Malang,s1perencanaanwilayahdankota@ITNMalang.ac.id
Institut Teknologi Sepuluh Nopember,Perencanaan Wilayah Dan Kota,S2,PTN,6433/SK/BAN-PT/Ak.P/M/V/2025,2025,ITS,s2perencanaanwilayahdankota@ITS.ac.id
Institut Teknologi Sumatera,Perencanaan Wilayah Dan Kota,S1,PTN,6549/SK/BAN-PT/Ak.KP/S/V/2025,2025,ITERA,s1perencanaanwilayahdankota@ITERA.ac.id
Universitas Jember,Perencanaan Wilayah Dan Kota,S1,PTN,6555/SK/BAN-PT/Ak.KP/S/V/2025,2025,UNEJ,s1perencanaanwilayahdankota@UNEJ.ac.id
Universitas Muhammadiyah Pare-pare,Perencanaan Wilayah Dan Kota,S1,9,6595/SK/BAN-PT/Ak.P/S/V/2025,2025,UMPAR,s1perencanaanwilayahdankota@UMPAR.ac.id
Universitas Teknologi Yogyakarta,Perencanaan Wilayah Dan Kota,S1,5,6626/SK/BAN-PT/Ak/S/V/2025,2025,UTY,s1perencanaanwilayahdankota@UTY.ac.id
Universitas Simalungun,Perencanaan Wilayah Dan Kota,S2,1,6751/SK/BAN-PT/Ak.S/M/VI/2025,2025,USI,s2perencanaanwilayahdankota@USI.ac.id
Universitas Negeri Yogyakarta,Pendidikan Teknik Sipil Dan Perencanaan,S1,PTN,734/SK/LAMDIK/Ak/S/VI/2025,2025,UNY,s1pendidikantekniksipildanperencanaan@UNY.ac.id
Universitas Bangka Belitung,Perencanaan Wilayah Dan Kota,S1,PTN,6768/SK/BAN-PT/Ak.S/S/VI/2025,2025,UBB,s1perencanaanwilayahdankota@UBB.ac.id
Universitas Muhammadiyah Barru,Perencanaan Wilayah Dan Kota,S1,9,2393/SK/BAN-PT/Ak.P/S1/VI/2025,2025,UMBAR,s1perencanaanwilayahdankota@UMBAR.ac.id
Universitas Islam Sultan Agung,Perencanaan Wilayah Dan Kota,S2,6,2408/SK/BAN-PT/Ak.P/S2/V/2025,2025,UNISSULA,s2perencanaanwilayahdankota@UNISSULA.ac.id
Universitas Muhammadiyah Sorong,Perencanaan Wilayah Dan Kota,S1,14,6847/SK/BAN-PT/Ak/S1/VII/2025,2025,UMSOR,s1perencanaanwilayahdankota@UMSOR.ac.id
Universitas Krisnadwipayana,Perencanaan Wilayah Dan Kota,S1,3,6871/SK/BAN-PT/Ak.S/S1/VII/2025,2025,UNKRIS,s1perencanaanwilayahdankota@UNKRIS.ac.id
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota,S1,PTN,7091/SK/BAN-PT/Ak.Ppj/S1/VII/2025,2025,UNS,s1perencanaanwilayahdankota@UNS.ac.id
Universitas Pasundan,Perencanaan Wilayah Dan Kota,S1,4,7359/SK/BAN-PT/Ak.Ppj/S/VIII/2025,2025,UNPAS,s1perencanaanwilayahdankota@UNPAS.ac.id
Universitas Pembangunan Panca Budi,Perencanaan Wilayah Dan Kota,S2,1,7392/SK/BAN-PT/Ak/M/VIII/2025,2025,UNPAB,s2perencanaanwilayahdankota@UNPAB.ac.id
Universitas Muhammadiyah Mataram,Perencanaan Wilayah Dan Kota,S1,8,7405/SK/BAN-PT/Ak/S/VIII/2025,2025,UMMAT,s1perencanaanwilayahdankota@UMMAT.ac.id
Universitas Muhammadiyah Banjarmasin,Perencanaan Wilayah Dan Kota,S1,11,7169/SK/BAN-PT/Ak.Ppj/S/VIII/2025,2025,UMB,s1perencanaanwilayahdankota@UMB.ac.id
Institut Teknologi Nasional Bandung,Perencanaan Wilayah Dan Kota,S1,4,7199/SK/BAN-PT/Ak.S/S/VIII/2025,2025,ITENAS,s1perencanaanwilayahdankota@ITENAS.ac.id
Universitas Jenderal Soedirman,Perencanaan Sumber Daya Lahan,D3,PTN,7198/SK/BAN-PT/Ak.S/D3/VIII/2025,2025,UNSOED,d3perencanaansumberdayalahan@UNSOED.ac.id
Politeknik Pariwisata Medan,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,PTKL,7291/SK/BAN-PT/Ak/MTr/VIII/2025,2025,POLTEKPAR Medan,s2terapanperencanaandanpengembanganpariwisata@POLTEKPARMedan.ac.id
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S3,PTN,7148/SK/BAN-PT/Ak.P/S3/VIII/2025,2025,UB,s3perencanaanwilayahdankota@UB.ac.id
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota (Kampus Cirebon),S1,PTN,7177/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,ITB,s1perencanaanwilayahdankotakampuscirebon@ITB.ac.id
Universitas Sam Ratulangi,Ilmu Perencanaan Pembangunan Wilayah,S2,PTN,7569/SK/BAN-PT/Ak.S/M/IX/2025,2025,UNSRAT,s2ilmuperencanaanpembangunanwilayah@UNSRAT.ac.id
Universitas Sumatera Utara,Perencanaan Wilayah Dan Kota,S2,PTN,7196/SK/BAN-PT/Ak.P/2.0/S2/IX/2025,2025,USU,s2perencanaanwilayahdankota@USU.ac.id
Universitas Sumatera Utara,Perencanaan Wilayah Dan Kota,S1,PTN,7195/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,USU,s1perencanaanwilayahdankota@USU.ac.id
Politeknik Negeri Bali,Perencanaan Pariwisata,S2 Terapan,PTN,7813/SK/BAN-PT/Ak/MTr/X/2025,2025,PNB,s2terapanperencanaanpariwisata@PNB.ac.id
Universitas PGRI Adi Buana,Perencanaan Wilayah Dan Kota,S1,7,7940/SK/BAN-PT/Ak.KP/S/X/2025,2025,UNIPA Surabaya,s1perencanaanwilayahdankota@UNIPASurabaya.ac.id
Universitas Negeri Gorontalo,Perencanaan Wilayah Dan Kota,S1,PTN,8099/SK/BAN-PT/Ak.P/S/X/2025,2025,UNG,s1perencanaanwilayahdankota@UNG.ac.id
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S2,3,8192/SK/BAN-PT/Ak.Ppj/M/XI/2025,2025,UNTAR,s2perencanaanwilayahdankota@UNTAR.ac.id
Universitas Islam Sultan Agung,Perencanaan Wilayah Dan Kota,S1,6,8194/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UNISSULA,s1perencanaanwilayahdankota@UNISSULA.ac.id
Universitas Hasanuddin,Ekonomi Pembangunan Dan Perencanaan,S2,PTN,2663/DE/A.5/AR.10/VIII/2025,2025,UNHAS,s2ekonomipembangunandanperencanaan@UNHAS.ac.id
Universitas Maritim Raja Ali Haji,Perencanaan Wilayah Dan Kota,S1,PTN,038/SK/BAN-PT/Ak.P/2.0/S1/X/2025,2025,UMRAH,s1perencanaanwilayahdankota@UMRAH.ac.id
Universitas Mahasaraswati Denpasar,Perencanaan Wilayah Dan Perdesaan,S2,8,8391/SK/BAN-PT/Ak.Ppj/M/XI/2025,2025,UNMAS,s2perencanaanwilayahdanperdesaan@UNMAS.ac.id
Universitas Palangka Raya,Perencanaan Wilayah Dan Kota,S2,PTN,98/SK/BAN-PT/Ak.P/M/I/2024,2024,UPR,s2perencanaanwilayahdankota@UPR.ac.id
Universitas Hindu Indonesia,Perencanaan Wilayah Dan Kota,S1,8,230/SK/BAN-PT/Ak.Ppj/S1/I/2024,2024,UNHI,s1perencanaanwilayahdankota@UNHI.ac.id
Universitas 17 Agustus 1945 Samarinda,Perencanaan Wilayah Dan Kota,S1,11,193/SK/BAN-PT/Ak.P/S/I/2024,2024,UNTAG Samarinda,s1perencanaanwilayahdankota@UNTAGSamarinda.ac.id
Universitas Trisakti,Perencanaan Wilayah Dan Kota,S1,3,553/SK/BAN-PT/Ak.KP/S/II/2024,2024,Usakti,s1perencanaanwilayahdankota@Usakti.ac.id
Institut Pariwisata Dan Bisnis Internasional,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,8,355/SK/BAN-PT/Ak/MTr/II/2024,2024,IPBI,s2terapanperencanaandanpengembanganpariwisata@IPBI.ac.id
Universitas Swadaya Gunung Djati,Perencanaan Wilayah Dan Kota,S1,4,372/SK/BAN-PT/Ak/S/II/2024,2024,UNSWAGATI,s1perencanaanwilayahdankota@UNSWAGATI.ac.id
Universitas Syiah Kuala,Perencanaan Wilayah Dan Kota,S1,PTN,466/SK/BAN-PT/Ak/S/II/2024,2024,USK,s1perencanaanwilayahdankota@USK.ac.id
Universitas Tanjungpura,Perencanaan Wilayah Dan Kota,S1,PTN,427/SK/BAN-PT/Ak/S/II/2024,2024,UNTAN,s1perencanaanwilayahdankota@UNTAN.ac.id
Universitas Sulawesi Barat,Perencanaan Wilayah Dan Kota,S1,PTN,425/SK/BAN-PT/Ak/S/II/2024,2024,UNSULBAR,s1perencanaanwilayahdankota@UNSULBAR.ac.id
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S3,PTN,7011/SK/BAN-PT/Ak/D/XII/2024,2024,UNDIP,s3perencanaanwilayahdankota@UNDIP.ac.id
Politeknik Pariwisata NHI Bandung,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,PTKL,6934/SK/BAN-PT/Ak/MTr/XII/2024,2024,POLTEKPAR NHI,s2terapanperencanaandanpengembanganpariwisata@POLTEKPARNHI.ac.id
Universitas Islam Negeri Alauddin Makassar,Teknik Perencanaan Wilayah Dan Kota,S1,PTAN,6785/SK/BAN-PT/Ak.KP/S/XI/2024,2024,UIN Alauddin,s1teknikperencanaanwilayahdankota@UINAlauddin.ac.id
Institut Pertanian Bogor,Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,S3,PTN,6560/SK/BAN-PT/Ak.KP/D/XI/2024,2024,IPB,s3ilmuperencanaanpembangunanwilayahdanpedesaan@IPB.ac.id
Institut Pertanian Bogor,Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,S2,PTN,6561/SK/BAN-PT/Ak.KP/M/XI/2024,2024,IPB,s2ilmuperencanaanpembangunanwilayahdanpedesaan@IPB.ac.id
Universitas Muhammadiyah Sinjai,Perencanaan Wilayah Dan Kota,S1,9,6619/SK/BAN-PT/Ak.P/S/XI/2024,2024,UMSINJAI,s1perencanaanwilayahdankota@UMSINJAI.ac.id
Universitas Pakuan,Perencanaan Wilayah Dan Kota,S1,4,6492/SK/BAN-PT/Ak/S/X/2024,2024,UNPAK,s1perencanaanwilayahdankota@UNPAK.ac.id
Universitas Tadulako,Perencanaan Wilayah Dan Kota,S1,PTN,6443/SK/BAN-PT/Ak/S/X/2024,2024,UNTAD,s1perencanaanwilayahdankota@UNTAD.ac.id
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S1,PTN,6234/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,ITB,s1perencanaanwilayahdankota@ITB.ac.id
Universitas Sam Ratulangi,Perencanaan Wilayah Dan Kota,S1,PTN,6190/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,UNSRAT,s1perencanaanwilayahdankota@UNSRAT.ac.id
Universitas Islam Bandung,Perencanaan Wilayah Dan Kota,S2,4,4855/SK/BAN-PT/Ak/M/VII/2024,2024,UNISBA,s2perencanaanwilayahdankota@UNISBA.ac.id
Universitas Gadjah Mada,Doktor Perencanaan Wilayah Dan Kota,S3,PTN,4746/SK/BAN-PT/Ak/D/VI/2024,2024,UGM,s3doktorperencanaanwilayahdankota@UGM.ac.id
Universitas Islam Riau,Perencanaan Wilayah Dan Kota,S1,17,5542/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,UIR,s1perencanaanwilayahdankota@UIR.ac.id
Universitas Amikom Yogyakarta,Perencanaan Wilayah Dan Kota,S1,5,4683/SK/BAN-PT/Ak/S/VI/2024,2024,AMIKOM,s1perencanaanwilayahdankota@AMIKOM.ac.id
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S3,PTN,4647/SK/BAN-PT/Ak.Ppj/D/VI/2024,2024,ITB,s3perencanaanwilayahdankota@ITB.ac.id
Universitas Winaya Mukti,Perencanaan Wilayah Dan Kota,S1,4,5044/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,UNWIM,s1perencanaanwilayahdankota@UNWIM.ac.id
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota,S2,PTN,4601/SK/BAN-PT/Ak.P/M/VI/2024,2024,UNS,s2perencanaanwilayahdankota@UNS.ac.id
Universitas Agung Podomoro,Perencanaan Wilayah Dan Kota,S1,3,4561/SK/BAN-PT/Ak/S/VI/2024,2024,UAP,s1perencanaanwilayahdankota@UAP.ac.id
Universitas Negeri Surabaya,Perencanaan Wilayah Dan Kota,S1,PTN,4447/SK/BAN-PT/Ak.P/S/V/2024,2024,UNESA,s1perencanaanwilayahdankota@UNESA.ac.id
Institut Teknologi Dan Bisnis Karya Pembangunan Papua,Perencanaan Wilayah Dan Kota,S1,14,4052/SK/BAN-PT/Ak/S/V/2024,2024,ITB KAPP,s1perencanaanwilayahdankota@ITBKAPP.ac.id
Institut Teknologi Bandung,Perencanaan Kepariwisataan,S2,PTN,3997/SK/BAN-PT/Ak.KP/M/V/2024,2024,ITB,s2perencanaankepariwisataan@ITB.ac.id
Universitas Indonesia,Magister Perencanaan Ekonomi Dan Kebijakan Pembangunan,S2,PTN,3965/SK/BAN-PT/Ak-PNB/M/V/2024,2024,UI,s2magisterperencanaanekonomidankebijakanpembangunan@UI.ac.id
Universitas Nahdlatul Ulama Kalimantan Selatan,Perencanaan Wilayah Dan Kota,S1,11,3907/SK/BAN-PT/Ak/S/IV/2024,2024,UNUKASE,s1perencanaanwilayahdankota@UNUKASE.ac.id
Universitas Sumatera Utara,Perencanaan Pembangunan Wilayah Dan Pedesaan,S2,PTN,3839/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,USU,s2perencanaanpembangunanwilayahdanpedesaan@USU.ac.id
Universitas Hasanuddin,Perencanaan Dan Pengembangan Wilayah,S2,PTN,40/SK/BAN-PT/Ak.Ppj/M/I/2023,2023,UNHAS,s2perencanaandanpengembanganwilayah@UNHAS.ac.id
Universitas Hasanuddin,Teknik Perencanaan Prasarana,S2,PTN,86/SK/BAN-PT/Ak.Ppj/M/I/2023,2023,UNHAS,s2teknikperencanaanprasarana@UNHAS.ac.id
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S1,9,511/SK/BAN-PT/Ak.Ppj/S/II/2023,2023,Ubos,s1perencanaanwilayahdankota@Ubos.ac.id
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S3,9,886/SK/BAN-PT/Ak/D/III/2023,2023,Ubos,s3perencanaanwilayahdankota@Ubos.ac.id
