Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Universitas Tarumanagara,Desain Interior,S1,3,4345/SK/BAN-PT/Akred/S/VII/2022,2022,di@untar.ac.id,Unggul,2027-07-12,Masih Berlaku
Institut Komunikasi Dan Bisnis LSPR,Desain Komunikasi Visual,S1,3,5082/SK/BAN-PT/Ak/S/VII/2022,2022,yayasan.pps@lspr.edu,Baik,2027-07-27,Masih Berlaku
Universitas Sebelas Maret,Desain Komunikasi Visual,S1,PTN,5244/SK/BAN-PT/Ak-PPJ/S/VIII/2022,2022,humas@mail.uns.ac.id,Unggul,2027-08-16,Masih Berlaku
Universitas Muhammadiyah Tangerang,Desain Komunikasi Visual,S1,4,5332/SK/BAN-PT/Ak/S/VIII/2022,2022,parinkrafumt@gmail.com,Baik,2027-08-09,Masih Berlaku
Politeknik Harapan Bersama,Desain Komunikasi Visual,D-III,6,5327/SK/BAN-PT/Ak/D3/VIII/2022,2022,info@poltektegal.ac.id,Baik,2027-08-09,Masih Berlaku
Politeknik Negeri Media Kreatif,Desain Mode,D-IV,PTN,5471/SK/BAN-PT/Ak/STr/VIII/2022,2022,info@polimedia.ac.id,Baik,2027-08-16,Masih Berlaku
Universitas Trisakti,Desain Produk,S1,3,5988/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,fsrd@trisakti.ac.id,Baik,2027-09-07,Masih Berlaku
Sekolah Tinggi Desain Interstudi,Desain Interior,S1,3,6266/SK/BAN-PT/Ak.KP/S/IX/2022,2022,stdi@interstudi.edu,Baik,2026-12-28,Masih Berlaku
Sekolah Tinggi Media Komunikasi Trisakti,Desain Komunikasi Visual,S1,3,6618/SK/BAN-PT/Ak.KP/S/IX/2022,2022,info@stmktrisakti.ac.id,Baik,2027-07-19,Masih Berlaku
Akademi Seni Dan Desain Indonesia Surakarta,Desain Komunikasi Visual,D-III,6,7539/SK/BAN-PT/Ak.KP/D3/X/2022,2022,info@asdi.ac.id,Baik,2026-07-22,53 hari lagi kadaluarsa
Universitas Sebelas Maret,Desain Interior,S1,PTN,8892/SK/BAN-PT/Ak.Ppj/S/XI/2022,2022,desinter_uns@yahoo.co.id,Unggul,2027-11-15,Masih Berlaku
Universitas 'Aisyiyah Bandung,Desain Komunikasi Visual,S1,4,8859/SK/BAN-PT/Ak/S/XI/2022,2022,dkv@unisa-bandung.ac.id,Baik,2027-11-01,Masih Berlaku
Universitas Kristen Satya Wacana,Desain Komunikasi Visual,S1,6,9109/SK/BAN-PT/Ak.Ppj/S/XI/2022,2022,fti@adm.uksw.edu,A,2027-11-22,Masih Berlaku
Politeknik Sains Seni Rekakreasi,Desain Komunikasi Visual,D-III,4,9918/SK/BAN-PT/Ak/D3/XI/2022,2022,info@polssre.ac.id,Baik,2027-11-29,Masih Berlaku
Institut Teknologi Harapan Bangsa,Desain Komunikasi Visual,S1,4,10075/SK/BAN-PT/Ak/S/XI/2022,2022,egi@ithb.ac.id,Baik Sekali,2027-11-30,Masih Berlaku
Universitas Pradita,Desain Komunikasi Visual,S1,3,1045/SK/BAN-PT/Akred/S/II/2021,2026,info@pradita.ac.id,Baik,2031-02-24,Masih Berlaku
Universitas Negeri Padang,Desain Komunikasi Visual,S1,PTN,1123/SK/BAN-PT/Akred/S/III/2021,2026,humas@unp.ac.id,A,2031-03-03,Masih Berlaku
Politeknik Industri Furnitur Dan Pengolahan Kayu,Desain Furnitur,D-III,PTKL,358/SK/BAN-PT/Akred/Dipl-III/I/2021,2025,info@polifurneka.ac.id,Baik,2030-12-16,Masih Berlaku
Institut Teknologi Batam,Desain Komunikasi Visual,S1,17,1358/SK/BAN-PT/Akred/S/III/2021,2026,info@iteba.ac.id,Baik,2027-03-10,Masih Berlaku
Akademi Teknik PIKA,Desain Interior,D-III,6,1480/SK/BAN-PT/Akred/Dipl-III/III/2021,2026,info@atpika.ac.id,Baik,2031-03-17,Masih Berlaku
Institut Teknologi Dan Bisnis Ahmad Dahlan,Desain Komunikasi Visual,S1,3,1500/SK/BAN-PT/Akred/S/III/2021,2026,info@itb-ad.ad.id,Baik,,Masih Berlaku
Universitas Adhirajasa Reswara Sanjaya,Desain Komunikasi Visual,S1,4,1605/SK/BAN-PT/Akred/S/III/2021,2026,dkv@ars.ac.id,Baik,2027-03-24,Masih Berlaku
Universitas Kuningan,Desain Komunikasi Visual,S1,4,2028/SK/BAN-PT/Akred/S/IV/2021,2026,info@uniku.ac.id,Baik,2031-04-14,Masih Berlaku
Universitas Bina Nusantara,Desain Interior (Kampus Kota Bandung),S1,3,2438/SK/BAN-PT/Akred/S/IV/2021,2026,friska.amalia@binus.edu,Baik,2031-04-28,Masih Berlaku
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Bandung),S1,3,2441/SK/BAN-PT/Akred/S/IV/2021,2026,adrianto.t@binus.edu,Baik,2031-04-28,Masih Berlaku
Universitas Bina Nusantara,Desain Interior (Kampus Kota Malang),S1,3,2668/SK/BAN-PT/Akred/S/V/2021,2026,ira.agustina@binus.edu,Baik,2031-05-05,Masih Berlaku
Politeknik Negeri Pontianak,Desain Kawasan Binaan,D-IV,PTN,2878/SK/BAN-PT/Akred/ST/V/2021,2026,jta.polnep@gmail.com,Baik,2031-05-12,Masih Berlaku
Institut Teknologi Sumatera,Desain Komunikasi Visual,S1,PTN,2731/SK/BAN-PT/Akred/S/V/2021,2026,humas@itera.ac.id,Baik,2031-05-12,Masih Berlaku
Universitas Sahid Surakarta,Desain Komunikasi Visual,S1,6,2993/SK/BAN-PT/Ak-PPJ/S/V/2021,2026,evelynehenny@gmail.com,B,2031-05-14,Masih Berlaku
Universitas Bina Nusantara,Desain Komunikasi Visual (Kampus Kota Malang),S1,3,3288/SK/BAN-PT/Akred/S/V/2021,2026,vabednego@binus.edu,Baik,2031-05-26,Masih Berlaku
Universitas Teknologi Indonesia,Desain Produk,S1,8,6144/SK/BAN-PT/Ak-TMSP/S/VI/2021,2021,info@uti.ac.id,Tidak Terakreditasi,,Tidak Ada Data
Politeknik Negeri Media Kreatif,Desain Grafis (Kampus Makassar),D-III,PTN,8915/SK/BAN-PT/Akred/Dipl-III/VI/2021,2021,info@polimedia.ac.id,Baik,2026-06-22,23 hari lagi kadaluarsa
Universitas Ciputra Surabaya,Desain Produk,S1,7,9276/SK/BAN-PT/Akred/S/VII/2021,2021,info@ciputra.ac.id,Baik,2026-07-06,37 hari lagi kadaluarsa
Universitas Budi Luhur,Desain Komunikasi Visual,S1,3,9440/SK/BAN-PT/Akred/S/VII/2021,2021,dkv@budiluhur.ac.id,Baik,2026-07-13,44 hari lagi kadaluarsa
Institut Sains Dan Teknologi Terpadu Surabaya,Desain Produk,S1,7,9709/SK/BAN-PT/Akred/S/VII/2021,2021,rektorat@istts.ac.id,Baik,2026-07-21,52 hari lagi kadaluarsa
Institut Desain Dan Bisnis Bali,Desain Mode,D-IV,8,9921/SK/BAN-PT/Akred/ST/VIII/2021,2021,info@idbbali.ac.id,Baik,2026-08-03,65 hari lagi kadaluarsa
Institut Teknologi Sepuluh Nopember,Desain Komunikasi Visual,S1,PTN,10472/SK/BAN-PT/Akred/S/VIII/2021,2021,dkv@its.ac.id,Baik,2026-08-31,93 hari lagi kadaluarsa
STIKI Malang,Desain Komunikasi Visual,S1,7,10632/SK/BAN-PT/Akred/S/IX/2021,2021,dkv@stiki.ac.id,Baik Sekali,2026-09-07,100 hari lagi kadaluarsa
Institut Teknologi Telkom Purwokerto,Desain Komunikasi Visual,S1,6,10875/SK/BAN-PT/Akred/S/IX/2021,2021,info@ittelkom-pwt.ac.id,Baik,2026-09-14,107 hari lagi kadaluarsa
Universitas Pendidikan Indonesia,Desain Komunikasi Visual,S1,PTN,10936/SK/BAN-PT/Akred/S/IX/2021,2021,dkv_fpsd@upi.edu,Baik,2026-09-21,114 hari lagi kadaluarsa
Universitas Indonesia Mandiri,Desain Komunikasi Visual,S1,4,11595/SK/BAN-PT/PB-PS/S/X/2021,2021,info@uimandiri.ac.id,Baik,2026-06-25,26 hari lagi kadaluarsa
Akademi Seni Rupa Dan Desain ISWI Jakarta,Desain Produk,D-III,3,11979/SK/BAN-PT/Akred/Dipl-III/X/2021,2021,kampusasride_iswi@ymail.com,Baik,2026-10-26,149 hari lagi kadaluarsa
Universitas Esa Unggul,Desain Komunikasi Visual,S1,3,12618/SK/BAN-PT/Ak-PPJ/S/XI/2021,2021,info@esaunggul.ac.id,B,2026-11-04,158 hari lagi kadaluarsa
Universitas Trisakti,Desain Komunikasi Visual,S1,3,12885/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,trisakti@.ac.id,A,2026-12-02,Masih Berlaku
Sekolah Tinggi Desain Interstudi,Desain Produk,S1,3,13061/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,stdi@interstudi.edu,B,2026-11-25,179 hari lagi kadaluarsa
Sekolah Tinggi Desain Interstudi,Desain Komunikasi Visual,S1,3,13091/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,stdi@interstudi.edu,B,2026-11-25,179 hari lagi kadaluarsa
Universitas Multimedia Nusantara,Desain Komunikasi Visual,S1,3,13626/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,dkv@umn.ac.id,A,2026-12-28,Masih Berlaku
Institut Seni Indonesia Yogyakarta,Desain Komunikasi Visual,S1,PTN,13625/SK/BAN-PT/Ak-PPJ/S/XII/2021,2021,arts@isi.ac.id,A,2026-12-28,Masih Berlaku
Politeknik Negeri Media Kreatif,Desain Grafis,D-III,PTN,14023/SK/BAN-PT/Ak-PPJ/Dipl-III/XII/2021,2021,info@polimedia.ac.id,B,2027-01-11,Masih Berlaku
Universitas Trisakti,Desain Interior,S1,3,14021/SK/BAN-PT/Ak-PPJ/S/XII/2021,2025,fsrd@trisakti.ac.id,Baik Sekali,2027-01-11,Masih Berlaku
Institut Seni Indonesia Surakarta,Desain Interior,S1,PTN,8288/SK/BAN-PT/Ak-PPJ/S/XII/2020,2026,direct@isi-ska.ac.id,Unggul,2031-03-03,Masih Berlaku
Universitas Islam Nahdlatul Ulama Jepara,Desain Komunikasi Visual,S1,6,8568/SK/BAN-PT/Akred/S/XII/2020,2025,faksaintek@unisnu.ac.id,B,2030-12-23,Masih Berlaku
Universitas Halu Oleo,Perencanaan Dan Pengembangan Wilayah,S2,PTN,6380/SK/BAN-PT/Ak.S/M/V/2025,2026,s2ppw@uho.ac.id,Baik Sekali,2031-03-03,Masih Berlaku
Universitas Mataram,Perencanaan Kepariwisataan,S2,PTN,6094/SK/BAN-PT/Ak.P/M/III/2025,2025,rektorat@unram.ac.id,Baik,2030-12-18,Masih Berlaku
Politeknik Internasional Bali,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,8,6135/SK/BAN-PT/Ak.P/MTr/III/2025,2025,info@pib.ac.id,Terakreditasi Sementara,2030-03-25,Masih Berlaku
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S1,PTN,6154/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,pwk@ub.ac.id,Unggul,2030-04-02,Masih Berlaku
Institut Sains Dan Teknologi Muhammadiyah Tarakan,Perencanaan Wilayah Dan Kota,S1,11,208/SK/BAN-PT/Ak/S/II/2025,2025,info@istm-tarakan.ac.id,Baik,2030-02-05,Masih Berlaku
Universitas Muhammadiyah Jambi,Perencanaan Wilayah Dan Kota,S1,10,85/SK/BAN-PT/Ak.P/S/I/2025,2025,info@umjambi.ac.id,Terakreditasi Sementara,2030-01-14,Masih Berlaku
Universitas Muhammadiyah Palopo,Perencanaan Wilayah Dan Kota,S1,9,6271/SK/BAN-PT/Ak.P/S/IV/2025,2025,info@umpalopo.ac.id,Baik,2027-04-29,Masih Berlaku
Universitas Sintuwu Maroso Poso,Perencanaan Wilayah Dan Perdesaan,S2,16,6266/SK/BAN-PT/Ak.P/M/IV/2025,2025,info@unsimar.ac.id,Baik,2027-04-29,Masih Berlaku
Institut Teknologi Nasional Yogyakarta,Perencanaan Wilayah Dan Kota,S1,5,6412/SK/BAN-PT/Ak.Ppj/S/V/2025,2025,info@itny.ac.id,B,2030-04-02,Masih Berlaku
Institut Teknologi Nasional Malang,Perencanaan Wilayah Dan Kota,S1,7,6485/SK/BAN-PT/Ak.KP/S/V/2025,2025,planologi-s1@itn.ac.id,Unggul,2029-07-17,Masih Berlaku
Institut Teknologi Sepuluh Nopember,Perencanaan Wilayah Dan Kota,S2,PTN,6433/SK/BAN-PT/Ak.P/M/V/2025,2026,tu_pwk@its.ac.id,Baik Sekali,2031-04-09,Masih Berlaku
Institut Teknologi Sumatera,Perencanaan Wilayah Dan Kota,S1,PTN,6549/SK/BAN-PT/Ak.KP/S/V/2025,2025,pwk@itera.ac.id,Baik Sekali,2029-05-29,Masih Berlaku
Universitas Jember,Perencanaan Wilayah Dan Kota,S1,PTN,6555/SK/BAN-PT/Ak.KP/S/V/2025,2025,humas@unej.ac.id,Baik Sekali,2029-05-15,Masih Berlaku
Universitas Muhammadiyah Pare-pare,Perencanaan Wilayah Dan Kota,S1,9,6595/SK/BAN-PT/Ak.P/S/V/2025,2025,info@umpar.ac.id,Baik,2027-05-15,Masih Berlaku
Universitas Teknologi Yogyakarta,Perencanaan Wilayah Dan Kota,S1,5,6626/SK/BAN-PT/Ak/S/V/2025,2025,info@uty.ac.id,Baik Sekali,2030-05-20,Masih Berlaku
Universitas Simalungun,Perencanaan Wilayah Dan Kota,S2,1,6751/SK/BAN-PT/Ak.S/M/VI/2025,2025,usi_psi@yahoo.com,B,,Masih Berlaku
Universitas Bangka Belitung,Perencanaan Wilayah Dan Kota,S1,PTN,6768/SK/BAN-PT/Ak.S/S/VI/2025,2025,info@ubb.ac.id,Baik,,Masih Berlaku
Universitas Muhammadiyah Barru,Perencanaan Wilayah Dan Kota,S1,9,2393/SK/BAN-PT/Ak.P/S1/VI/2025,2025,info@umbarru.ac.id,Terakreditasi Sementara,2030-06-24,Masih Berlaku
Universitas Islam Sultan Agung,Perencanaan Wilayah Dan Kota,S2,6,2408/SK/BAN-PT/Ak.P/S2/V/2025,2025,humas@unissula.ac.id,Terakreditasi Sementara,2030-05-14,Masih Berlaku
Universitas Muhammadiyah Sorong,Perencanaan Wilayah Dan Kota,S1,14,6847/SK/BAN-PT/Ak/S1/VII/2025,2025,info@unimuda.ac.id,Baik,2030-06-24,Masih Berlaku
Universitas Krisnadwipayana,Perencanaan Wilayah Dan Kota,S1,3,6871/SK/BAN-PT/Ak.S/S1/VII/2025,2026,humas@unkris.ac,Baik Sekali,2031-01-13,Masih Berlaku
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota,S1,PTN,7091/SK/BAN-PT/Ak.Ppj/S1/VII/2025,2025,pwk@ft.uns.ac.id,Unggul,2030-08-05,Masih Berlaku
Universitas Pasundan,Perencanaan Wilayah Dan Kota,S1,4,7359/SK/BAN-PT/Ak.Ppj/S/VIII/2025,2025,pwkftunpas@unpas.ac.id,Unggul,2030-09-02,Masih Berlaku
Universitas Pembangunan Panca Budi,Perencanaan Wilayah Dan Kota,S2,1,7392/SK/BAN-PT/Ak/M/VIII/2025,2025,humas@pancabudi.ac.id,Baik Sekali,2030-08-26,Masih Berlaku
Universitas Muhammadiyah Mataram,Perencanaan Wilayah Dan Kota,S1,8,7405/SK/BAN-PT/Ak/S/VIII/2025,2025,baak_umm@telkom.net,Baik Sekali,2030-08-27,Masih Berlaku
Universitas Muhammadiyah Banjarmasin,Perencanaan Wilayah Dan Kota,S1,11,7169/SK/BAN-PT/Ak.Ppj/S/VIII/2025,2025,info@umbjm.ac.id,B,2030-07-29,Masih Berlaku
Institut Teknologi Nasional Bandung,Perencanaan Wilayah Dan Kota,S1,4,7199/SK/BAN-PT/Ak.S/S/VIII/2025,2026,humas@itenas.ac.id,Baik Sekali,2031-02-24,Masih Berlaku
Politeknik Pariwisata Medan,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,PTKL,7291/SK/BAN-PT/Ak/MTr/VIII/2025,2025,pascasarjana@poltekparmedan.ac.id,Baik Sekali,2030-08-13,Masih Berlaku
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S3,PTN,7148/SK/BAN-PT/Ak.P/S3/VIII/2025,2025,humas@ub.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota (Kampus Cirebon),S1,PTN,7177/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,humas@itb.ac.id,Terakreditasi Sementara,2030-09-09,Masih Berlaku
Universitas Sam Ratulangi,Ilmu Perencanaan Pembangunan Wilayah,S2,PTN,7569/SK/BAN-PT/Ak.S/M/IX/2025,2026,sim_usr@unsrat.ac.id,Baik Sekali,2031-04-14,Masih Berlaku
Universitas Sumatera Utara,Perencanaan Wilayah Dan Kota,S2,PTN,7196/SK/BAN-PT/Ak.P/2.0/S2/IX/2025,2025,humas@usu.ac.id,Terakreditasi Sementara,2030-09-16,Masih Berlaku
Universitas Sumatera Utara,Perencanaan Wilayah Dan Kota,S1,PTN,7195/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,humas@usu.ac.id,Terakreditasi Sementara,2030-09-16,Masih Berlaku
Universitas PGRI Adi Buana,Perencanaan Wilayah Dan Kota,S1,7,7940/SK/BAN-PT/Ak.KP/S/X/2025,2025,pwk@unipasby.ac.id,Baik Sekali,2029-10-17,Masih Berlaku
Universitas Negeri Gorontalo,Perencanaan Wilayah Dan Kota,S1,PTN,8099/SK/BAN-PT/Ak.P/S/X/2025,2025,info@ung.ac.id,Baik,2027-10-28,Masih Berlaku
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S2,3,8192/SK/BAN-PT/Ak.Ppj/M/XI/2025,2025,prodi.s2pwk@ft.untar.ac.id,Baik Sekali,2030-09-05,Masih Berlaku
Universitas Islam Sultan Agung,Perencanaan Wilayah Dan Kota,S1,6,8194/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,informasi@unissula.ac.id,Unggul,2030-10-28,Masih Berlaku
Universitas Maritim Raja Ali Haji (UMRAH),Perencanaan Wilayah Dan Kota,S1,PTN,038/SK/BAN-PT/Ak.P/2.0/S1/X/2025,2025,humas@umrah.ac.id,Terakreditasi Sementara,2030-10-28,Masih Berlaku
Universitas Mahasaraswati Denpasar,Perencanaan Wilayah Dan Perdesaan,S2,8,8391/SK/BAN-PT/Ak.Ppj/M/XI/2025,2025,info@unmas.ac.id,Unggul,2030-09-30,Masih Berlaku
Universitas Palangka Raya,Perencanaan Wilayah Dan Kota,S2,PTN,98/SK/BAN-PT/Ak.P/M/I/2024,2026,info@upr.ac.id,Baik,,Masih Berlaku
Universitas Hindu Indonesia,Perencanaan Wilayah Dan Kota,S1,8,230/SK/BAN-PT/Ak.Ppj/S1/I/2024,2024,infos1@unhi.ac.id,B,2029-01-24,Masih Berlaku
Universitas 17 Agustus 1945 Samarinda,Perencanaan Wilayah Dan Kota,S1,11,193/SK/BAN-PT/Ak.P/S/I/2024,2024,info@untagsmd.ac.id,Terakreditasi Sementara,2029-01-23,Masih Berlaku
Universitas Trisakti,Perencanaan Wilayah Dan Kota,S1,3,553/SK/BAN-PT/Ak.KP/S/II/2024,2024,faltl@trisakti.ac.id,Unggul,2028-10-03,Masih Berlaku
Institut Pariwisata Dan Bisnis Internasional,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,8,355/SK/BAN-PT/Ak/MTr/II/2024,2024,info@ipbi.ac.id,Baik Sekali,2029-02-06,Masih Berlaku
Universitas Swadaya Gunung Djati,Perencanaan Wilayah Dan Kota,S1,4,372/SK/BAN-PT/Ak/S/II/2024,2024,perencanaanwilayahdankotaugj@gmail.com,Baik,2029-02-13,Masih Berlaku
Universitas Syiah Kuala,Perencanaan Wilayah Dan Kota,S1,PTN,466/SK/BAN-PT/Ak/S/II/2024,2024,pwk@unsyiah.ac.id,Baik Sekali,2029-02-20,Masih Berlaku
Universitas Tanjungpura,Perencanaan Wilayah Dan Kota,S1,PTN,427/SK/BAN-PT/Ak/S/II/2024,2024,humas@untan.ac.id,Baik Sekali,2029-02-20,Masih Berlaku
Universitas Sulawesi Barat,Perencanaan Wilayah Dan Kota,S1,PTN,425/SK/BAN-PT/Ak/S/II/2024,2024,info@unsulbar.ac.id,Baik,2029-02-20,Masih Berlaku
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S3,PTN,7011/SK/BAN-PT/Ak/D/XII/2024,2024,pdip@pwk.undip.ac.id,Baik Sekali,2029-12-11,Masih Berlaku
Politeknik Pariwisata NHI Bandung,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,PTKL,6934/SK/BAN-PT/Ak/MTr/XII/2024,2024,info@poltekpar-nhi.ac.id,Baik,2029-12-02,Masih Berlaku
Universitas Islam Negeri Alauddin Makassar,Teknik Perencanaan Wilayah Dan Kota,S1,PTAN,6785/SK/BAN-PT/Ak.KP/S/XI/2024,2024,kontak@uin-alauddin.ac.id,Baik Sekali,2028-03-21,Masih Berlaku
Institut Pertanian Bogor,Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,S3,PTN,6560/SK/BAN-PT/Ak.KP/D/XI/2024,2024,pspwdipb@apps.ipb.ac.id,Unggul,2028-01-04,Masih Berlaku
Institut Pertanian Bogor,Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,S2,PTN,6561/SK/BAN-PT/Ak.KP/M/XI/2024,2024,pspwdipb@apps.ipb.ac.id,Unggul,2027-08-16,Masih Berlaku
Universitas Muhammadiyah Sinjai,Perencanaan Wilayah Dan Kota,S1,9,6619/SK/BAN-PT/Ak.P/S/XI/2024,2026,info@umsinjai.ac.id,Baik,2031-05-12,Masih Berlaku
Universitas Pakuan,Perencanaan Wilayah Dan Kota,S1,4,6492/SK/BAN-PT/Ak/S/X/2024,2024,fakultasteknik@unpak.ac.id,Unggul,2029-10-29,Masih Berlaku
Universitas Tadulako,Perencanaan Wilayah Dan Kota,S1,PTN,6443/SK/BAN-PT/Ak/S/X/2024,2024,humas@untad.ac.id,Baik,2029-10-22,Masih Berlaku
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S1,PTN,6234/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,itbpwk@pl.itb.ac.id,Unggul,2029-10-01,Masih Berlaku
Universitas Sam Ratulangi,Perencanaan Wilayah Dan Kota,S1,PTN,6190/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,info@unsrat.ac.id,Unggul,2029-10-23,Masih Berlaku
Universitas Islam Bandung,Perencanaan Wilayah Dan Kota,S2,4,4855/SK/BAN-PT/Ak/M/VII/2024,2024,pascasarjana@unisba.ac.id,Baik Sekali,2029-07-02,Masih Berlaku
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,S3,PTN,4746/SK/BAN-PT/Ak/D/VI/2024,2024,info@ugm.ac.id,Baik Sekali,2029-06-25,Masih Berlaku
Universitas Islam Riau,Perencanaan Wilayah Dan Kota,S1,17,5542/SK/BAN-PT/Ak.KP/S/VIII/2024,2024,info@uir.ac.id,Baik Sekali,2028-02-28,Masih Berlaku
Universitas Amikom Yogyakarta,Perencanaan Wilayah Dan Kota,S1,5,4683/SK/BAN-PT/Ak/S/VI/2024,2024,humas@amikom.ac.id,Baik,2029-06-12,Masih Berlaku
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S3,PTN,4647/SK/BAN-PT/Ak.Ppj/D/VI/2024,2024,wsalim@pl.itb.ac.id,Unggul,2029-06-26,Masih Berlaku
Universitas Winaya Mukti,Perencanaan Wilayah Dan Kota,S1,4,5044/SK/BAN-PT/Ak.Ppj/S/VII/2024,2025,planologi@unwim.ac.id,Baik Sekali,2029-07-17,Masih Berlaku
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota,S2,PTN,4601/SK/BAN-PT/Ak.P/M/VI/2024,2024,s2pwk@ft.uns.ac.id,Terakreditasi Sementara,2029-06-06,Masih Berlaku
Universitas Agung Podomoro,Perencanaan Wilayah Dan Kota,S1,3,4561/SK/BAN-PT/Ak/S/VI/2024,2024,rektorat@podomorouniversity.ac.id,Baik Sekali,2029-06-04,Masih Berlaku
Universitas Negeri Surabaya,Perencanaan Wilayah Dan Kota,S1,PTN,4447/SK/BAN-PT/Ak.P/S/V/2024,2024,info@unesa.ac.id,Terakreditasi Sementara,2029-05-28,Masih Berlaku
Institut Teknologi Dan Bisnis Karya Pembangunan Papua,Perencanaan Wilayah Dan Kota,S1,14,4052/SK/BAN-PT/Ak/S/V/2024,2024,info@itbkppapua.ac.id,Baik,2029-05-07,Masih Berlaku
Institut Teknologi Bandung,Perencanaan Kepariwisataan,S2,PTN,3997/SK/BAN-PT/Ak.KP/M/V/2024,2024,siti@sappk.itb.ac.id,Unggul,2027-07-07,Masih Berlaku
Universitas Nahdlatul Ulama Kalimantan Selatan,Perencanaan Wilayah Dan Kota,S1,11,3907/SK/BAN-PT/Ak/S/IV/2024,2024,info@unukalsel.ac.id,Baik,2029-04-29,Masih Berlaku
Universitas Sumatera Utara,Perencanaan Pembangunan Wilayah Dan Pedesaan,S2,PTN,3839/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,s2pwd.spsusu@gmail.com,Unggul,2029-05-01,Masih Berlaku
Universitas Hasanuddin,Perencanaan Dan Pengembangan Wilayah,S2,PTN,40/SK/BAN-PT/Ak.Ppj/M/I/2023,2023,info@pascaunhas.net,Unggul,2028-01-10,Masih Berlaku
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S1,9,511/SK/BAN-PT/Ak.Ppj/S/II/2023,2023,info@universitasbosowa.ac.id,Unggul,2027-12-13,Masih Berlaku
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S3,9,886/SK/BAN-PT/Ak/D/III/2023,2023,info@universitasbosowa.ac.id,Baik Sekali,2028-03-14,Masih Berlaku
Universitas Bina Taruna Gorontalo,Perencanaan Wilayah,S1,16,996/SK/BAN-PT/Ak/S/III/2023,2023,info@unbitar.ac.id,Baik,2028-03-21,Masih Berlaku
Politeknik Pariwisata Batam,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,17,1211/SK/BAN-PT/Ak/MTr/IV/2023,2023,s2tpd@btp.ac.id,Baik,2028-04-04,Masih Berlaku
Universitas Bung Hatta,Perencanaan Wilayah Dan Kota,S1,10,1837/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,humas@bunghatta.ac.id,B,2028-05-31,Masih Berlaku
Universitas Muhammadiyah Makassar,Perencanaan Wilayah Dan Kota,S1,9,2095/SK/BAN-PT/Ak/S/VI/2023,2023,info@unismuh.ac.id,Baik,2028-06-06,Masih Berlaku
Universitas Hasanuddin,Perencanaan Wilayah Dan Kota,S1,PTN,2291/SK/BAN-PT/Akred-Itnl/S/VI/2023,2023,arsitek@ft.unhas.ac.id,Unggul,2027-09-30,Masih Berlaku
Universitas Muhammadiyah Berau,Perencanaan Wilayah Dan Kota,S1,11,2341/SK/BAN-PT/Ak/S/VI/2023,2023,info@umberau.ac.id,Baik,2028-06-20,Masih Berlaku
Universitas Sumatera Utara,Perencanaan Wilayah,S3,PTN,2514/SK/BAN-PT/Ak.Ppj/D/VI/2023,2023,sps@usu.ac.id,B,2028-07-11,Masih Berlaku
Universitas Pohuwato,Perencanaan Wilayah,S1,16,3954/SK/BAN-PT/Ak/S/X/2023,2023,info@unipo.ac.id,Baik,2028-10-03,Masih Berlaku
Institut Teknologi Kalimantan,Perencanaan Wilayah Dan Kota,S1,PTN,4385/SK/BAN-PT/Ak.Ppj/S/X/2023,2023,urp@itk.ac.id,B,2028-04-04,Masih Berlaku
